code;country;price;enable;min_billing_time;billing_step;free_seconds;digits_min;digits_max;connect_price;priority
3716840;LATVIA FIXED OLO;0.17;y;1;1;0;1;16;0.0;-1
7;RUSSIA FIXED;0.17;y;1;1;0;1;16;0.0;-1
793;RUSSIA MOBILE MEGAFON;0.17;y;1;1;0;1;16;0.0;-1
98939;IRAN MOBILE MTN;0.119;y;1;1;0;1;16;0.0;-1
98938;IRAN MOBILE MTN;0.119;y;1;1;0;1;16;0.0;-1
7952724;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952723;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952722;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952721;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952720;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
795271;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
795270;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
795269;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
795268;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
795267;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952664;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952663;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952662;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
7952661;RUSSIA MOBILE ROSTELECOM;0.17;y;1;1;0;1;16;0.0;-1
